locality,title,area,rent,price_per_sqft,facing,BHK,bathrooms,parking
BTM Layout,"1 BHK Apartment  For Sale  In Sandy Villa, Btm Layout In Btm Layout",565 sqft,"20,060/Month","₹6,195 per sq.ft.",North-West,1 BHK,1,Bike
BTM Layout,3 BHK Apartment  For Sale  In Sobha Magnolia In Btm Layout,"1,837 sqft","97,434/Month","₹9,254 per sq.ft.",East,3 BHK,3,Bike and Car
BTM Layout,2 BHK Flat  For Sale  In Nandi Jewels In Btm 2nd Stage,"1,280 sqft","54,448/Month","₹7,422 per sq.ft.",East,2 BHK,2,Car
BTM Layout,3 BHK Apartment  For Sale  In Brigade Lakeview Apartment In Btm Layout,"2,220 sqft",1.17 Lacs/Month,"₹9,234 per sq.ft.",North,3 BHK,3,Bike and Car
BTM Layout,2 BHK Apartment  For Sale  In Niranjan Central Apartments In Btm Layout 1,"1,113 sqft","34,388/Month","₹5,391 per sq.ft.",East,2 BHK,2,Bike and Car
BTM Layout,2 BHK Apartment  For Sale  In Pyramid Classic In Btm Layout,"1,332 sqft","36,394/Month","₹4,767 per sq.ft.",West,2 BHK,2,Bike and Car
BTM Layout,3 BHK Apartment  For Sale  In Mantri Elegance Apartments In Btm 2nd Stage,"1,815 sqft",1.12 Lacs/Month,"₹10,744 per sq.ft.",North-East,3 BHK,2,Car
BTM Layout,2 BHK Apartment  For Sale  In Niranjan Central Apartments In Btm Layout 1,"1,400 sqft","41,266/Month","₹5,143 per sq.ft.",South-East,2 BHK,2,Bike and Car
BTM Layout,4 BHK Apartment  For Sale  In Sweet Dreams Apartment In Btm Layout 1,"3,006 sqft",1.29 Lacs/Month,"₹7,485 per sq.ft.",East,4 BHK,5,Bike and Car
BTM Layout,"3 BHK Flat  For Sale  In Total Environment Green Is The Colour, Bangalore In Btm 2nd Stage","1,600 sqft","92,849/Month","₹10,125 per sq.ft.",South,3 BHK,2,Bike and Car
BTM Layout,2 BHK Apartment  For Sale  In Manar Sorrento In Btm Layout 1,"1,200 sqft","42,985/Month","₹6,250 per sq.ft.",West,2 BHK,2,Bike and Car
BTM Layout,2 BHK Flat  For Sale  In Rajeshwari Residency In Btm Layout,"1,000 sqft","34,388/Month","₹6,000 per sq.ft.",West,2 BHK,2,Bike and Car
BTM Layout,2 BHK Flat  For Sale  In Rajeshwari Residency In Btm Layout,"1,200 sqft","40,120/Month","₹5,833 per sq.ft.",North,2 BHK,2,Bike and Car
BTM Layout,4+ BHK Flat  For Sale  In Mohan Nilaya In Btm I Stage,"4,650 sqft",2.29 Lacs/Month,"₹8,602 per sq.ft.",East,4+ BHK,13,Bike
BTM Layout,3 BHK Flat  For Sale  In Silverline Nymphae Apartment In Btm Layout,"1,060 sqft","31,522/Month","₹5,189 per sq.ft.",North,3 BHK,2,Bike and Car
BTM Layout,3 BHK Apartment  For Sale  In Majestic Residency In Btm Layout,"1,325 sqft","71,643/Month","₹9,434 per sq.ft.",East,3 BHK,2,Bike and Car
BTM Layout,2 BHK Flat  For Sale  In Vinayaka Sai Residency In Btm 1st Stage,"1,025 sqft","32,096/Month","₹5,463 per sq.ft.",North,2 BHK,2,Bike and Car
BTM Layout,3 BHK Flat  For Sale  In Sharada Residency In Btm Layout 2nd Stage,"2,200 sqft","71,643/Month","₹5,682 per sq.ft.",East,3 BHK,3,Bike and Car
BTM Layout,"2 BHK Flat  For Sale  In Manya Arena, Bannerghatta Road In Bannerghatta Road",920 sqft,"22,925/Month","₹4,348 per sq.ft.",North,2 BHK,2,Bike and Car
BTM Layout,2 BHK Apartment  For Sale  In Jana Jeeva Regency In Btm 2nd Stage,"1,030 sqft","27,510/Month","₹4,660 per sq.ft.",North,2 BHK,2,Bike and Car
BTM Layout,"2 BHK Flat  For Sale  In Mytri Palace, Btm 2nd Stage In Btm 2nd Stage","1,020 sqft","33,242/Month","₹5,686 per sq.ft.",West,2 BHK,2,Car
BTM Layout,3 BHK Flat  For Sale  In Laa Emerald In Btm 2nd Stage,"1,650 sqft","42,985/Month","₹4,545 per sq.ft.",East,3 BHK,2,Car
BTM Layout,2 BHK Flat  For Sale  In Heritage Heaven  In 49 18th Main Road,"1,100 sqft","51,583/Month","₹8,182 per sq.ft.",West,2 BHK,2,Bike and Car
BTM Layout,3 BHK Flat  For Sale  In Mbvs Castle Apartment In Btm 2nd Stage,"1,185 sqft","40,120/Month","₹5,907 per sq.ft.",North,3 BHK,2,Bike and Car
BTM Layout,3 BHK Apartment  For Sale  In Brigade Lakeview Apartment In Btm Layout,"2,220 sqft",1.17 Lacs/Month,"₹9,234 per sq.ft.",North,3 BHK,3,Bike and Car
Attibele,1 BHK Apartment  For Sale  In Shriram Smrithi In Attibele,765 sqft,"18,340/Month","₹4,183 per sq.ft.",East,1 BHK,1,Bike and Car
Attibele,2 BHK Flat  For Sale  In Jaanabhar Subha 2 In Janaadhar Shubha Phase 2,656 sqft,"13,182/Month","₹3,506 per sq.ft.",North-East,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Aryan Fountain Square Apartment Complex In Attibele,837 sqft,"18,913/Month","₹3,943 per sq.ft.",East,2 BHK,2,Car
Attibele,3 BHK Apartment  For Sale  In Sigma Serenity In Attibele Bus Stand,"1,347 sqft","21,091/Month","₹2,732 per sq.ft.",North,3 BHK,2,Bike and Car
Attibele,2 BHK Flat  For Sale  In Indya The Greens In Attibele,691 sqft,"20,060/Month","₹5,065 per sq.ft.",East,2 BHK,1,Bike and Car
Attibele,2 BHK Flat  For Sale  In Indya The Greens In Attibele,750 sqft,"15,474/Month","₹3,600 per sq.ft.",East,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Sigma Serenity In Attibele,"1,069 sqft","21,206/Month","₹3,461 per sq.ft.",North,2 BHK,2,Bike and Car
Attibele,2 BHK Flat  For Sale  In Sigma Serenity In Attibele,"1,007 sqft","25,791/Month","₹4,469 per sq.ft.",East,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Sigma Serenity In Attibele,"1,258 sqft","25,791/Month","₹3,577 per sq.ft.",East,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Sigma Serenity In Attibele,"1,169 sqft","25,791/Month","₹3,849 per sq.ft.",West,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Sigma Serenity In Attibele,"1,350 sqft","26,937/Month","₹3,481 per sq.ft.",North-East,2 BHK,2,Car
Attibele,2 BHK Flat  For Sale  In Sigma Serenity In Attibele,"1,175 sqft","25,218/Month","₹3,745 per sq.ft.",East,2 BHK,2,Bike and Car
Attibele,4 BHK Flat  For Sale  In Athibele,"2,900 sqft","54,448/Month","₹3,276 per sq.ft.",North,4 BHK,4,Car
Attibele,2 BHK Apartment  For Sale  In Sigma Serenity In Attibele,"1,060 sqft","20,633/Month","₹3,396 per sq.ft.",South,2 BHK,2,Bike and Car
Attibele,2 BHK Flat  For Sale  In  Sigma Serenity In Attibele,"1,007 sqft","31,522/Month","₹5,462 per sq.ft.",East,2 BHK,2,Bike and Car
Attibele,3 BHK Flat  For Sale  In Opulence Apartment In Attibele,"1,210 sqft","21,779/Month","₹3,140 per sq.ft.",North-East,3 BHK,3,Bike and Car
Attibele,2 BHK Flat  For Sale  In Opulence Apartment In Attibele,880 sqft,"16,048/Month","₹3,182 per sq.ft.",North-East,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,810 sqft,"18,340/Month","₹3,951 per sq.ft.",East,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,800 sqft,"14,328/Month","₹3,125 per sq.ft.",North,2 BHK,2,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,750 sqft,"12,609/Month","₹2,933 per sq.ft.",North,2 BHK,1,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,"2,000 sqft","13,468/Month","₹1,175 per sq.ft.",East,2 BHK,1,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,615 sqft,"17,194/Month","₹4,878 per sq.ft.",East,2 BHK,1,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,630 sqft,"18,340/Month","₹5,079 per sq.ft.",East,2 BHK,2,Car
Attibele,3 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,"1,200 sqft","28,657/Month","₹4,167 per sq.ft.",North,3 BHK,3,Bike and Car
Attibele,2 BHK Apartment  For Sale  In Indya The Greens Phase Iii In Attibele,750 sqft,"20,060/Month","₹4,667 per sq.ft.",North-East,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,164 sqft","37,254/Month","₹5,584 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,138 sqft","35,534/Month","₹5,448 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,139 sqft","36,108/Month","₹5,531 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,139 sqft","36,108/Month","₹5,531 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,139 sqft","36,108/Month","₹5,531 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,133 sqft","36,108/Month","₹5,560 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,228 sqft","36,108/Month","₹5,130 per sq.ft.",East,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,064 sqft","33,886/Month","₹5,557 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,138 sqft","35,534/Month","₹5,448 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"3 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,295 sqft","44,203/Month","₹5,956 per sq.ft.",East,3 BHK,2,Bike and Car
K R Puram ,"3 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,425 sqft","47,651/Month","₹5,834 per sq.ft.",East,3 BHK,2,Bike and Car
K R Puram ,"3 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,339 sqft","41,839/Month","₹5,452 per sq.ft.",East,3 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,075 sqft","35,735/Month","₹5,800 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"3 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,339 sqft","40,120/Month","₹5,228 per sq.ft.",East,3 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,113 sqft","37,445/Month","₹5,870 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,139 sqft","37,254/Month","₹5,707 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,139 sqft","37,254/Month","₹5,707 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"3 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,295 sqft","43,623/Month","₹5,877 per sq.ft.",East,3 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,151 sqft","35,534/Month","₹5,387 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,139 sqft","35,534/Month","₹5,443 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,075 sqft","34,512/Month","₹5,601 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,113 sqft","36,229/Month","₹5,679 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,143 sqft","38,471/Month","₹5,873 per sq.ft.",North,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,064 sqft","35,534/Month","₹5,827 per sq.ft.",West,2 BHK,2,Bike and Car
K R Puram ,"2 BHK Flat  For Sale  In Garuda Park Square, Krishnarajapura In K R Puram Bus Stop","1,143 sqft","38,523/Month","₹5,881 per sq.ft.",North,2 BHK,2,Bike and Car
Marathahalli,4+ BHK Flat  For Sale  In Standalone Building  In Marathahalli ,"7,200 sqft",1.26 Lacs/Month,"₹3,056 per sq.ft.",Don't Know,4+ BHK,26,Bike
Marathahalli,4+ BHK Flat  For Sale  In Marathahalli,"4,200 sqft","74,508/Month","₹3,095 per sq.ft.",North,4+ BHK,16,None
Marathahalli,3 BHK Flat  For Sale  In Rich Fields In Marathahalli,"1,550 sqft","46,997/Month","₹5,290 per sq.ft.",West,3 BHK,3,Bike and Car
Marathahalli,2 BHK Flat  For Sale  In Pathrika Paradise In Marathahalli,"1,120 sqft","37,254/Month","₹5,804 per sq.ft.",West,2 BHK,2,Bike and Car
Marathahalli,3 BHK Apartment  For Sale  In Vanshee Richfield Apts In Marathahalli,"1,560 sqft","50,150/Month","₹5,609 per sq.ft.",East,3 BHK,3,Bike and Car
Marathahalli,3 BHK Apartment  For Sale  In Vanshee Richfield Apts In Marathahalli,"1,560 sqft","54,448/Month","₹6,090 per sq.ft.",East,3 BHK,3,Bike and Car
Marathahalli,2 BHK Apartment  For Sale  In Sri Sai Sannidhi In Marathahalli,"1,110 sqft","42,412/Month","₹6,667 per sq.ft.",East,2 BHK,2,Bike and Car
Marathahalli,2 BHK Apartment  For Sale  In Parimala Elan In Marathahalli,"1,050 sqft","31,522/Month","₹5,238 per sq.ft.",East,2 BHK,2,Car
Marathahalli,3 BHK Apartment  For Sale  In Vanshi  Rich Field Apartment In Marathahalli,"1,500 sqft","42,985/Month","₹5,000 per sq.ft.",West,3 BHK,3,Bike and Car
Marathahalli,2 BHK Flat  For Sale  In Sai Kuteer In Marathahalli,950 sqft,"25,791/Month","₹4,737 per sq.ft.",East,2 BHK,2,Bike and Car
Marathahalli,3 BHK Apartment  For Sale  In Sr Sree Utopia In Marathahalli,"1,600 sqft","51,583/Month","₹5,625 per sq.ft.",West,3 BHK,3,Bike and Car
Marathahalli,2 BHK Apartment  For Sale  In Sr Sree Utopia In Marathahalli,"1,302 sqft","48,717/Month","₹6,528 per sq.ft.",East,2 BHK,2,Bike and Car
Marathahalli,3 BHK Apartment  For Sale  In Vanshee Richfield Apts In Marathahalli,"1,450 sqft","48,717/Month","₹5,862 per sq.ft.",West,3 BHK,3,Bike and Car
Marathahalli,2 BHK Apartment  For Sale  In Bharat Regency In Marathahalli,"1,170 sqft","39,833/Month","₹5,940 per sq.ft.",North,2 BHK,2,Bike and Car
Marathahalli,2 BHK Flat  For Sale  In Krishna Dham In Marathahalli,"1,000 sqft","28,657/Month","₹5,000 per sq.ft.",East,2 BHK,2,Bike
Marathahalli,2 BHK Apartment  For Sale  In Krishna Dham Apartments In Marathahalli,"1,000 sqft","37,254/Month","₹6,500 per sq.ft.",North,2 BHK,2,Bike and Car
Marathahalli,3 BHK Apartment  For Sale  In Greens Apartments In Marathahalli,"1,650 sqft","45,851/Month","₹4,848 per sq.ft.",East,3 BHK,3,Bike and Car
Marathahalli,3 BHK Flat  For Sale  In Sadhguru Fortuna In Marathahalli,"1,640 sqft","48,717/Month","₹5,183 per sq.ft.",North,3 BHK,2,Bike and Car
Marathahalli,2 BHK Flat  For Sale  In G  S Mansion In Hemanth Nagar,"1,168 sqft","31,522/Month","₹4,709 per sq.ft.",South,2 BHK,2,Car
Marathahalli,4 BHK Flat  For Sale  In Standalone Building  In Marathahalli,"2,400 sqft","68,777/Month","₹5,000 per sq.ft.",Don't Know,4 BHK,4,Bike
Marathahalli,2 BHK Flat  For Sale  In G.s Mansion In Marathahalli,"1,145 sqft","31,522/Month","₹4,803 per sq.ft.",East,2 BHK,2,Bike and Car
Marathahalli,2 BHK Apartment  For Sale  In Vanshee Citadel In Marathahalli,"1,204 sqft","42,412/Month","₹6,146 per sq.ft.",East,2 BHK,2,Bike and Car
Marathahalli,2 BHK Apartment  For Sale  In Vanshee Citadel In Marathahalli,"1,204 sqft","37,953/Month","₹5,500 per sq.ft.",West,2 BHK,2,Bike and Car
Marathahalli,2 BHK Flat  For Sale  In Pradham Regency In Marathahalli,"1,300 sqft","28,657/Month","₹3,846 per sq.ft.",North,2 BHK,2,Bike
Marathahalli,2 BHK Flat  For Sale  In Sai Pradham Residency In Marathahalli,"1,034 sqft","24,072/Month","₹4,062 per sq.ft.",West,2 BHK,2,Car
Indiranagar,"3 BHK Flat  For Sale  In Hal 2nd Stage,indiranagar  ","2,200 sqft",2.35 Lacs/Month,"₹18,636 per sq.ft.",North,3 BHK,3,Bike and Car
Indiranagar,4 BHK Flat  For Sale  In Golfridge In Indira Nagar,"2,750 sqft",1.63 Lacs/Month,"₹10,364 per sq.ft.",North,4 BHK,3,Bike and Car
Indiranagar,2 BHK Apartment  For Sale  In Team Heritage Apartments In Indiranagar,"1,100 sqft","51,583/Month","₹8,182 per sq.ft.",North,2 BHK,2,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Livintique Residence In Indiranagar,"2,450 sqft",2.01 Lacs/Month,"₹14,286 per sq.ft.",Don't Know,3 BHK,3,Bike and Car
Indiranagar,3 BHK Apartment  For Sale  In Ashiana Gardens Apartments In Indiranagar,"1,780 sqft","84,825/Month","₹8,315 per sq.ft.",North-West,3 BHK,3,Bike and Car
Indiranagar,"3 BHK Flat  For Sale  In Beverly Apartments In Hal 2nd Stage, Indiranagar","1,780 sqft","91,703/Month","₹8,989 per sq.ft.",South,3 BHK,3,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Vaishali Residency In Indiranagar,"1,300 sqft","65,911/Month","₹8,846 per sq.ft.",East,3 BHK,2,Bike and Car
Indiranagar,2 BHK Flat  For Sale  In Bharath Nivas In Kodihalli,"1,400 sqft","40,120/Month","₹5,000 per sq.ft.",North,2 BHK,2,Bike and Car
Indiranagar,2 BHK Flat  For Sale  In Maple Apartments In Indiranagar,925 sqft,"37,254/Month","₹7,027 per sq.ft.",North,2 BHK,2,Car
Indiranagar,3 BHK Apartment  For Sale  In Kristal Moonstone In Indiranagar,"1,475 sqft",1.2 Lacs/Month,"₹14,237 per sq.ft.",East,3 BHK,2,Bike and Car
